[2022/05/25 01:21:15] - Namespace(alpha=8.0, batch_size=128, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', delta_init='uniform', epochs=50, epsilon=8, fname='output', gamma=1.01, init_tau=8, lr_max=0.05, lr_min=0.0, lr_schedule='multistep', max_iteration=8, model='pre', momentum=0.9, normalization='std', out_dir='ablation_8_out', save_model=True, seed=0, weight_decay=0.0005, wide_factor=10)
[2022/05/25 01:21:19] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc 	 Val Acc 	 MG 	 CW Acc
[2022/05/25 01:21:57] - 0 	 25.5 	 	 0.0500 	 1.4901 	 0.4518 	 0.5930	 5175.4365 	 0.0129
[2022/05/25 01:23:00] - 1 	 50.0 	 	 0.0500 	 1.8901 	 0.2955 	 0.5738	 3084.1125 	 0.1930
[2022/05/25 01:24:05] - 2 	 50.3 	 	 0.0500 	 1.7021 	 0.3506 	 0.5859	 3206.2058 	 0.2121
[2022/05/25 01:25:34] - 3 	 75.7 	 	 0.0500 	 1.7661 	 0.3248 	 0.6363	 2768.1858 	 0.2695
[2022/05/25 01:27:02] - 4 	 74.8 	 	 0.0500 	 1.7024 	 0.3457 	 0.6398	 2841.2896 	 0.2797
[2022/05/25 01:28:32] - 5 	 75.6 	 	 0.0500 	 1.6596 	 0.3609 	 0.6766	 2949.5977 	 0.3148
[2022/05/25 01:29:59] - 6 	 73.9 	 	 0.0500 	 1.6327 	 0.3689 	 0.6613	 3026.2988 	 0.3125
[2022/05/25 01:31:26] - 7 	 73.2 	 	 0.0500 	 1.6131 	 0.3759 	 0.7176	 3086.2307 	 0.3109
[2022/05/25 01:32:53] - 8 	 74.6 	 	 0.0500 	 1.5977 	 0.3819 	 0.6785	 3121.7400 	 0.2824
[2022/05/25 01:34:19] - 9 	 72.5 	 	 0.0500 	 1.5806 	 0.3889 	 0.7063	 3151.0120 	 0.3023
[2022/05/25 01:35:46] - 10 	 73.0 	 	 0.0500 	 1.5698 	 0.3953 	 0.7109	 3201.9355 	 0.3055
[2022/05/25 01:37:13] - 11 	 73.3 	 	 0.0500 	 1.5622 	 0.3954 	 0.6609	 3230.8462 	 0.3184
[2022/05/25 01:38:40] - 12 	 73.4 	 	 0.0500 	 1.5503 	 0.3992 	 0.6945	 3258.8796 	 0.3602
[2022/05/25 01:40:30] - 13 	 97.5 	 	 0.0500 	 1.5366 	 0.4043 	 0.6602	 3119.2812 	 0.3070
[2022/05/25 01:42:22] - 14 	 97.8 	 	 0.0500 	 1.5288 	 0.4117 	 0.6914	 3076.1992 	 0.3285
[2022/05/25 01:44:12] - 15 	 97.0 	 	 0.0500 	 1.5204 	 0.4138 	 0.6766	 3081.3516 	 0.3277
[2022/05/25 01:46:02] - 16 	 96.7 	 	 0.0500 	 1.5185 	 0.4144 	 0.6777	 3073.9602 	 0.3082
[2022/05/25 01:47:51] - 17 	 95.6 	 	 0.0500 	 1.5136 	 0.4172 	 0.6750	 3096.0867 	 0.3383
[2022/05/25 01:49:39] - 18 	 93.6 	 	 0.0500 	 1.5102 	 0.4149 	 0.6742	 3096.7656 	 0.3332
[2022/05/25 01:51:30] - 19 	 97.9 	 	 0.0500 	 1.5078 	 0.4178 	 0.6863	 3103.5098 	 0.2645
[2022/05/25 01:53:21] - 20 	 97.5 	 	 0.0500 	 1.5033 	 0.4172 	 0.7031	 3114.6387 	 0.2961
[2022/05/25 01:55:12] - 21 	 96.7 	 	 0.0500 	 1.4976 	 0.4178 	 0.6527	 3134.6211 	 0.3121
[2022/05/25 01:57:02] - 22 	 97.5 	 	 0.0500 	 1.4969 	 0.4221 	 0.6762	 3135.9619 	 0.3348
